  65.318716792s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 25.3) — 3.3k marks/s, ~39.8k live (12.0 u life)
  66.167777792s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  67.167526167s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  68.167960792s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
  69.168122542s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  70.167551875s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
  70.335582792s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 47.5) — 2.0k marks/s, ~24.0k live (12.0 u life)
  71.167033750s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 24 note(s) the playhead had already passed (the render path was still warming up)
  72.168035917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 20 note(s) the playhead had already passed (the render path was still warming up)
  73.167645167s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  74.166984833s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 8 note(s) the playhead had already passed (the render path was still warming up)
  75.168225083s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  75.335897458s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 58.4) — 1.6k marks/s, ~18.7k live (12.0 u life)
  76.167663500s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
  77.167483042s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  78.168338792s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  79.160097542s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  80.159712125s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 24 note(s) the playhead had already passed (the render path was still warming up)
  80.344215583s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 59 fps (16.9 ms avg, worst 90.6) — 2.1k marks/s, ~25.7k live (12.0 u life)
  81.160265667s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
  82.159429750s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 13 note(s) the playhead had already passed (the render path was still warming up)
  83.159764333s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 11 note(s) the playhead had already passed (the render path was still warming up)
  84.160355917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  85.160268875s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 11 note(s) the playhead had already passed (the render path was still warming up)
  85.344829708s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 30.1) — 3.3k marks/s, ~39.4k live (12.0 u life)
  86.160411250s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 13 note(s) the playhead had already passed (the render path was still warming up)
  87.159720458s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 11 note(s) the playhead had already passed (the render path was still warming up)
  88.159952708s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 20 note(s) the playhead had already passed (the render path was still warming up)
  89.161273708s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 13 note(s) the playhead had already passed (the render path was still warming up)
  90.160558292s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 11 note(s) the playhead had already passed (the render path was still warming up)
  90.361330917s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 48.6) — 3.3k marks/s, ~39.5k live (12.0 u life)
  91.159781875s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 13 note(s) the playhead had already passed (the render path was still warming up)
  92.160428167s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  93.159845458s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
  94.159945750s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
  95.160365292s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 24 note(s) the playhead had already passed (the render path was still warming up)
  95.378853542s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 39.5) — 1.7k marks/s, ~20.5k live (12.0 u life)
  96.176072333s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 24 note(s) the playhead had already passed (the render path was still warming up)
  97.160395500s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 13 note(s) the playhead had already passed (the render path was still warming up)
  98.176069083s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
  99.175936333s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
 100.160102708s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
 100.394306458s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 34.3) — 1.4k marks/s, ~16.7k live (12.0 u life)
 101.160189917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 14 note(s) the playhead had already passed (the render path was still warming up)
 102.176203500s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
 103.176472375s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
 104.176510750s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 20 note(s) the playhead had already passed (the render path was still warming up)
 105.160342083s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 11 note(s) the playhead had already passed (the render path was still warming up)
 105.394507167s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 24.1) — 2.5k marks/s, ~30.3k live (12.0 u life)
 106.160141958s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 16 note(s) the playhead had already passed (the render path was still warming up)
 107.160376458s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 11 note(s) the playhead had already passed (the render path was still warming up)
 108.176617458s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
 109.165638167s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
 110.166114792s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
 110.399022875s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.8 ms avg, worst 75.7) — 3.3k marks/s, ~39.2k live (12.0 u life)
 111.165773042s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
 112.166130625s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 24 note(s) the playhead had already passed (the render path was still warming up)
 113.165545917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
 114.165777833s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
 115.165230958s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
 115.399086958s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 34.3) — 3.3k marks/s, ~39.5k live (12.0 u life)
 116.166109667s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
 117.166130208s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 15 note(s) the playhead had already passed (the render path was still warming up)
 118.165427042s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
 119.165383625s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 20 note(s) the playhead had already passed (the render path was still warming up)
 120.165281250s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 24 note(s) the playhead had already passed (the render path was still warming up)
 120.417074250s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 32.6) — 1.4k marks/s, ~17.1k live (12.0 u life)
 121.166036833s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
 122.165261875s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
 123.165869333s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
 124.165231417s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 18 note(s) the playhead had already passed (the render path was still warming up)
 125.165192500s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
 125.434618542s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 23.6) — 1.5k marks/s, ~17.5k live (12.0 u life)
 126.166568917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
 127.165704333s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
 128.165261917s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 20 note(s) the playhead had already passed (the render path was still warming up)
 129.165726375s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
 130.165159792s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 10 note(s) the playhead had already passed (the render path was still warming up)
 130.450289583s  INFO system{name="kintaro::profiling::report_frame_cost"}: kintaro::perf: [frame] 60 fps (16.7 ms avg, worst 41.2) — 2.8k marks/s, ~33.0k live (12.0 u life)
 131.165895458s  INFO system{name="kintaro::brush::systems::process_op4d_events"}: kintaro::brush: [brush] skipped 12 note(s) the playhead had already passed (the render path was still warming up)
